Team,League,Country,HeadCoach,Appointed,EndDate,Tenure,Matches,Wins,Draws,Losses,AppointmentNumber
Lille,Ligue 1,France,Hervé Renard,2015-05-26,2015-11-11,169,14,3,7,4,1
Lyon,Ligue 1,France,Hubert Fournier,2014-07-01,2015-12-23,540,72,35,15,22,1
Udinese,Serie A,Italy,Igor Tudor,2019-03-20,2019-11-01,226,21,8,4,9,2
Hellas Verona,Serie A,Italy,Igor Tudor,2021-09-14,2022-05-28,256,36,14,11,11,3
Real Sociedad,LaLiga,Spain,Imanol Alguacil,2018-03-19,2018-06-30,103,9,5,1,3,1
Genoa,Serie A,Italy,Ivan Juric,2016-07-01,2017-02-19,233,28,8,7,13,1
Genoa,Serie A,Italy,Ivan Juric,2017-04-10,2017-11-05,209,20,4,4,12,2
Genoa,Serie A,Italy,Ivan Juric,2018-10-09,2018-12-06,58,8,0,3,5,3
Hellas Verona,Serie A,Italy,Ivan Juric,2019-07-01,2021-05-28,697,79,24,25,30,4
Real Sociedad,LaLiga,Spain,Jagoba Arrasate,2013-07-01,2014-11-03,490,68,26,18,24,1
Mainz 05,Bundesliga,Germany,Jan-Moritz Lichte,2020-09-28,2020-12-28,91,12,1,3,8,1
Bournemouth,Premier League,England,Jason Tindall,2020-08-08,2021-02-03,179,31,14,9,8,1
Valencia,LaLiga,Spain,Javi Gracia,2020-07-27,2021-05-03,280,38,11,12,15,1
Villarreal,LaLiga,Spain,Javier Calleja,2017-09-25,2018-12-10,441,65,25,18,22,1
Villarreal,LaLiga,Spain,Javier Calleja,2019-01-29,2020-07-20,538,66,32,12,22,2
Montpellier,Ligue 1,France,Jean-Louis Gasset,2017-01-30,2017-05-23,113,16,5,1,10,1
Reims,Ligue 1,France,Jean-Luc Vasseur,2014-07-01,2015-04-07,280,34,10,8,16,1
Granada,LaLiga,Spain,Joaquín Caparrós,2014-07-01,2015-01-16,199,22,3,9,10,1
Sevilla,LaLiga,Spain,Joaquín Caparrós,2019-03-15,2019-06-30,107,11,6,1,4,2
Lille,Ligue 1,France,Jocelyn Gourvennec,2021-07-05,2022-06-16,346,49,19,15,15,1
Newcastle Utd,Premier League,England,John Carver,2014-12-31,2015-06-09,160,20,3,4,13,1
Bournemouth,Premier League,England,Jonathan Woodgate,2021-02-04,2021-06-30,146,23,13,2,8,1
Sevilla,LaLiga,Spain,Jorge Sampaoli,2016-07-01,2017-05-31,334,53,27,12,14,1
Marseille,Ligue 1,France,Jorge Sampaoli,2021-03-08,2022-07-01,480,67,37,16,14,2
Sevilla,LaLiga,Spain,Jorge Sampaoli,2022-10-06,2023-03-20,165,31,13,6,12,3
