date,league,team,result,days_in_post
2019-12-21,Premier League,Manchester City,win,1268
2019-12-22,Premier League,Tottenham,loss,32
2020-01-29,Premier League,West Ham,loss,31
2019-12-26,Premier League,Tottenham,win,36
2019-12-26,Premier League,Crystal Palace,win,835
2019-12-26,Premier League,Everton,win,4
2019-12-26,Premier League,Chelsea,loss,175
2019-12-26,Premier League,Manchester Utd,win,273
2019-12-27,Premier League,Wolves,win,909
2019-08-17,Premier League,Arsenal,win,412
2019-08-17,Premier League,Brighton,draw,89
2019-08-17,Premier League,Everton,win,443
2019-08-17,Premier League,Manchester City,draw,1142
2019-08-18,Premier League,Chelsea,draw,45
2019-08-19,Premier League,Wolves,draw,779
2019-12-28,Premier League,Brighton,win,222
2019-12-28,Premier League,Newcastle Utd,loss,164
2019-12-29,Premier League,Arsenal,loss,7
2019-12-29,Premier League,Liverpool,win,1543
2019-12-29,Premier League,Manchester City,win,1276
2020-01-01,Premier League,Brighton,draw,226
2020-01-01,Premier League,Newcastle Utd,loss,168
2020-01-01,Premier League,West Ham,win,3
2020-01-01,Premier League,Manchester City,win,1279
2020-01-01,Premier League,Arsenal,win,10
2020-01-02,Premier League,Liverpool,win,1547
2020-01-11,Premier League,Crystal Palace,draw,851
2020-01-11,Premier League,Chelsea,win,191
2020-01-11,Premier League,Everton,win,20
2020-01-11,Premier League,Wolves,draw,924
2020-01-11,Premier League,Manchester Utd,win,289
2020-01-11,Premier League,Tottenham,loss,52
2020-01-18,Premier League,Arsenal,draw,27
2020-01-18,Premier League,Manchester City,draw,1296
2020-01-18,Premier League,Brighton,draw,243
2020-01-18,Premier League,West Ham,draw,20
2020-01-18,Premier League,Newcastle Utd,win,185
2020-01-19,Premier League,Liverpool,win,1564
2020-01-21,Premier League,Crystal Palace,loss,861
2020-01-21,Premier League,Everton,draw,30
2020-01-21,Premier League,Chelsea,draw,201
2020-01-22,Premier League,Tottenham,win,63
2020-01-22,Premier League,Manchester Utd,loss,300
2020-01-23,Premier League,Wolves,loss,936
2020-02-01,Premier League,West Ham,draw,34
2020-02-01,Premier League,Crystal Palace,loss,872
2020-02-01,Premier League,Liverpool,win,1577
2020-02-01,Premier League,Newcastle Utd,draw,199
2020-02-01,Premier League,Manchester Utd,draw,310
2020-02-02,Premier League,Tottenham,win,74
2020-02-08,Premier League,Everton,win,48
2020-02-08,Premier League,Brighton,draw,264
2020-02-14,Premier League,Wolves,draw,958
2020-02-16,Premier League,Arsenal,win,56
2020-02-17,Premier League,Chelsea,loss,228
2020-02-19,Premier League,Manchester City,win,1328
2020-02-22,Premier League,Chelsea,win,233
2020-02-22,Premier League,Crystal Palace,win,893
2020-02-23,Premier League,Wolves,win,967
2020-02-23,Premier League,Manchester Utd,win,332
2020-02-23,Premier League,Arsenal,win,63
2020-02-24,Premier League,Liverpool,win,1600
2020-02-29,Premier League,Brighton,loss,285
2020-02-29,Premier League,West Ham,win,62
2020-02-29,Premier League,Newcastle Utd,draw,227
2020-03-01,Premier League,Tottenham,loss,102
2020-03-01,Premier League,Everton,draw,70
2020-06-17,Premier League,Manchester City,win,1447
2020-03-07,Premier League,Liverpool,win,1612
2020-03-07,Premier League,Wolves,draw,980
2020-03-07,Premier League,Crystal Palace,win,907
2020-03-07,Premier League,Arsenal,win,76
2020-03-08,Premier League,Chelsea,win,248
2020-03-08,Premier League,Manchester Utd,win,346
2019-08-24,Premier League,Manchester Utd,loss,149
2019-08-24,Premier League,Brighton,loss,96
2019-08-24,Premier League,Liverpool,win,1416
2019-08-25,Premier League,Wolves,draw,785
2019-08-25,Premier League,Tottenham,loss,1881
2020-06-19,Premier League,Tottenham,draw,212
2020-06-20,Premier League,Brighton,win,397
2020-06-20,Premier League,West Ham,loss,174
2020-06-21,Premier League,Newcastle Utd,win,340
2020-06-21,Premier League,Everton,draw,182
2020-06-22,Premier League,Manchester City,win,1452
2020-06-23,Premier League,Tottenham,win,216
2020-06-24,Premier League,Wolves,win,1089
2020-06-24,Premier League,Manchester Utd,win,454
2020-06-24,Premier League,Newcastle Utd,draw,343
2020-06-24,Premier League,Liverpool,win,1721
2020-06-25,Premier League,Chelsea,win,357
2020-06-29,Premier League,Crystal Palace,loss,1021
2020-06-30,Premier League,Brighton,loss,407
2020-07-01,Premier League,Everton,win,192
2020-07-01,Premier League,Arsenal,win,192
2020-07-01,Premier League,West Ham,win,185
2020-07-02,Premier League,Manchester City,win,1462
2020-07-04,Premier League,Manchester Utd,win,464
2020-07-04,Premier League,Wolves,loss,1099
2020-07-04,Premier League,Chelsea,win,366
2020-07-05,Premier League,Newcastle Utd,draw,354
2020-07-05,Premier League,Liverpool,win,1732
2020-07-06,Premier League,Tottenham,win,229
2020-07-07,Premier League,Crystal Palace,loss,1029
